TimeStep,Positive,Negative,Neutral,Total_Active
0,6,2,0,8
1,16,7,0,23
2,20,17,0,37
3,33,29,0,62
4,45,41,0,86
5,68,52,0,120
6,89,70,0,159
7,103,84,0,187
8,116,102,0,218
9,127,113,0,240
10,139,120,0,259
11,144,130,0,274
12,149,140,0,289
13,152,140,0,292
14,152,141,0,293
15,154,141,0,295
16,155,141,0,296
17,157,141,0,298
18,160,139,0,299
19,159,140,0,299
20,160,139,0,299
21,161,139,0,300
22,164,136,0,300
23,165,135,0,300
24,167,133,0,300
25,168,132,0,300
26,170,130,0,300
27,175,125,0,300
28,178,122,0,300
29,180,120,0,300
30,180,120,0,300
31,182,118,0,300
32,188,112,0,300
33,188,112,0,300
34,192,108,0,300
35,195,105,0,300
36,197,103,0,300
37,198,102,0,300
38,203,97,0,300
39,202,98,0,300
40,205,95,0,300
41,204,96,0,300
42,204,96,0,300
43,204,96,0,300
44,203,97,0,300
45,204,96,0,300
46,206,94,0,300
47,204,96,0,300
48,204,96,0,300
49,204,96,0,300
50,205,95,0,300
51,205,95,0,300
52,205,95,0,300
53,206,94,0,300
54,205,95,0,300
55,204,96,0,300
56,202,98,0,300
57,202,98,0,300
58,203,97,0,300
59,201,99,0,300
60,200,100,0,300
61,200,100,0,300
62,200,100,0,300
63,199,101,0,300
64,198,102,0,300
65,194,106,0,300
66,193,107,0,300
67,194,106,0,300
68,194,106,0,300
69,195,105,0,300
70,196,104,0,300
71,197,103,0,300
72,196,104,0,300
73,195,105,0,300
74,190,110,0,300
75,190,110,0,300
76,187,113,0,300
77,186,114,0,300
78,185,115,0,300
79,187,113,0,300
80,186,114,0,300
81,186,114,0,300
82,185,115,0,300
83,185,115,0,300
84,185,115,0,300
85,183,117,0,300
86,184,116,0,300
87,184,116,0,300
88,183,117,0,300
89,183,117,0,300
90,181,119,0,300
91,183,117,0,300
92,184,116,0,300
93,183,117,0,300
94,183,117,0,300
95,183,117,0,300
96,182,118,0,300
97,182,118,0,300
98,181,119,0,300
99,181,119,0,300
100,180,120,0,300
101,180,120,0,300
102,178,122,0,300
103,176,124,0,300
104,177,123,0,300
105,177,123,0,300
106,176,124,0,300
107,174,126,0,300
108,174,126,0,300
109,174,126,0,300
110,173,127,0,300
111,173,127,0,300
112,173,127,0,300
113,171,129,0,300
114,171,129,0,300
115,171,129,0,300
116,171,129,0,300
117,170,130,0,300
118,170,130,0,300
119,170,130,0,300
120,171,129,0,300
121,170,130,0,300
122,168,132,0,300
123,169,131,0,300
124,169,131,0,300
125,168,132,0,300
126,168,132,0,300
127,168,132,0,300
128,168,132,0,300
129,167,133,0,300
130,167,133,0,300
131,166,134,0,300
132,166,134,0,300
133,167,133,0,300
134,167,133,0,300
135,167,133,0,300
136,168,132,0,300
137,168,132,0,300
138,167,133,0,300
139,166,134,0,300
140,165,135,0,300
141,164,136,0,300
142,163,137,0,300
143,162,138,0,300
144,160,140,0,300
145,160,140,0,300
146,158,142,0,300
147,158,142,0,300
148,158,142,0,300
149,158,142,0,300
