Trial,Condition,Positive,Negative
1,b=0.0,196,89
2,b=0.0,203,93
3,b=0.0,195,98
4,b=0.0,177,117
5,b=0.0,199,92
6,b=0.0,200,92
7,b=0.0,184,106
8,b=0.0,170,121
9,b=0.0,192,98
10,b=0.0,185,104
11,b=0.0,198,95
12,b=0.0,196,99
13,b=0.0,172,114
14,b=0.0,169,129
15,b=0.0,178,113
16,b=0.0,201,94
17,b=0.0,191,104
18,b=0.0,207,79
19,b=0.0,200,92
20,b=0.0,201,88
21,b=0.0,182,109
22,b=0.0,202,93
23,b=0.0,192,102
24,b=0.0,199,95
25,b=0.0,192,101
26,b=0.0,208,85
27,b=0.0,199,93
28,b=0.0,198,93
29,b=0.0,190,99
30,b=0.0,191,99
1,b=1.0,249,42
2,b=1.0,267,26
3,b=1.0,257,40
4,b=1.0,266,30
5,b=1.0,262,29
6,b=1.0,251,45
7,b=1.0,267,23
8,b=1.0,251,46
9,b=1.0,266,32
10,b=1.0,253,37
11,b=1.0,261,31
12,b=1.0,238,52
13,b=1.0,252,38
14,b=1.0,258,38
15,b=1.0,256,36
16,b=1.0,268,28
17,b=1.0,250,46
18,b=1.0,264,29
19,b=1.0,264,31
20,b=1.0,256,34
21,b=1.0,250,43
22,b=1.0,261,35
23,b=1.0,243,48
24,b=1.0,259,33
25,b=1.0,265,29
26,b=1.0,271,20
27,b=1.0,256,35
28,b=1.0,249,46
29,b=1.0,264,26
30,b=1.0,256,39
