Time,m_2_Positive,m_2_Negative,m_3_Positive,m_3_Negative,m_5_Positive,m_5_Negative,m_10_Positive,m_10_Negative
0,5.666666666666667,3.0,5.666666666666667,4.666666666666667,1.6666666666666667,3.6666666666666665,4.0,5.666666666666667
1,12.666666666666666,6.666666666666667,12.333333333333334,9.333333333333334,9.0,9.666666666666666,8.666666666666666,13.666666666666666
2,17.666666666666668,13.0,20.0,14.0,22.666666666666668,18.333333333333332,17.666666666666668,20.333333333333332
3,27.666666666666668,23.0,32.333333333333336,25.0,30.666666666666668,25.333333333333332,30.333333333333332,29.0
4,38.0,34.666666666666664,44.666666666666664,38.333333333333336,38.666666666666664,37.666666666666664,42.666666666666664,44.666666666666664
5,54.0,45.666666666666664,61.333333333333336,51.333333333333336,55.0,53.0,56.666666666666664,59.0
6,70.33333333333333,61.333333333333336,77.33333333333333,68.66666666666667,69.0,70.0,70.0,76.66666666666667
7,86.0,75.0,91.33333333333333,83.0,86.33333333333333,83.0,85.0,88.33333333333333
8,98.66666666666667,90.0,113.33333333333333,102.33333333333333,106.66666666666667,96.33333333333333,97.0,106.0
9,114.33333333333333,100.33333333333333,121.0,115.33333333333333,121.33333333333333,107.33333333333333,108.0,118.0
10,125.0,111.0,132.0,123.33333333333333,128.33333333333334,115.66666666666667,118.33333333333333,129.66666666666666
11,132.0,116.66666666666667,140.0,132.0,139.0,121.33333333333333,125.66666666666667,136.0
12,138.0,124.66666666666667,144.0,136.0,145.0,126.66666666666667,130.33333333333334,140.33333333333334
13,144.0,128.0,146.66666666666666,137.0,148.66666666666666,131.0,134.66666666666666,145.0
14,147.66666666666666,133.66666666666666,148.33333333333334,140.33333333333334,149.66666666666666,133.0,134.33333333333334,148.33333333333334
15,151.0,132.0,150.0,139.33333333333334,151.66666666666666,132.0,139.33333333333334,150.0
16,153.33333333333334,132.33333333333334,149.66666666666666,140.0,153.0,133.66666666666666,139.0,151.0
17,155.33333333333334,135.0,147.66666666666666,138.66666666666666,154.33333333333334,134.66666666666666,141.0,150.33333333333334
18,156.0,135.33333333333334,148.0,138.66666666666666,155.0,134.66666666666666,140.66666666666666,149.33333333333334
