Time,b_0.0_Positive,b_0.0_Negative,b_0.1_Positive,b_0.1_Negative,b_0.5_Positive,b_0.5_Negative,b_1.0_Positive,b_1.0_Negative
0,5.333333333333333,2.6666666666666665,4.333333333333333,5.333333333333333,4.333333333333333,4.333333333333333,4.0,2.3333333333333335
1,11.333333333333334,7.333333333333333,12.333333333333334,12.0,12.0,9.666666666666666,10.333333333333334,9.0
2,17.333333333333332,14.333333333333334,22.0,19.666666666666668,21.666666666666668,19.666666666666668,14.666666666666666,16.0
3,28.0,20.666666666666668,33.666666666666664,29.666666666666668,34.0,31.0,23.0,25.333333333333332
4,41.0,31.333333333333332,43.0,41.666666666666664,45.333333333333336,48.0,35.666666666666664,34.0
5,50.666666666666664,45.0,56.666666666666664,60.666666666666664,56.0,62.0,47.333333333333336,48.333333333333336
6,64.66666666666667,56.666666666666664,75.33333333333333,77.33333333333333,73.0,76.66666666666667,64.0,64.66666666666667
7,81.66666666666667,77.66666666666667,88.33333333333333,92.66666666666667,90.33333333333333,89.0,79.33333333333333,82.0
8,96.33333333333333,91.33333333333333,102.33333333333333,108.66666666666667,107.0,100.66666666666667,94.33333333333333,97.33333333333333
9,105.0,106.33333333333333,111.0,123.0,118.0,114.0,105.66666666666667,110.0
10,116.0,118.0,122.33333333333333,130.0,127.0,121.66666666666667,118.0,121.0
11,126.66666666666667,128.0,125.66666666666667,139.0,134.33333333333334,130.33333333333334,127.0,131.66666666666666
12,132.0,135.0,130.33333333333334,142.33333333333334,139.33333333333334,132.33333333333334,134.33333333333334,136.33333333333334
13,134.66666666666666,141.33333333333334,132.66666666666666,144.0,140.66666666666666,135.33333333333334,138.33333333333334,140.0
14,137.0,143.33333333333334,136.0,144.66666666666666,141.0,138.66666666666666,137.66666666666666,140.66666666666666
15,140.0,146.33333333333334,138.33333333333334,147.66666666666666,144.0,140.0,141.33333333333334,141.33333333333334
16,138.33333333333334,148.66666666666666,136.66666666666666,147.66666666666666,145.66666666666666,142.0,143.0,143.66666666666666
17,137.66666666666666,148.66666666666666,138.0,149.33333333333334,145.33333333333334,142.0,143.33333333333334,144.66666666666666
18,137.0,148.0,138.66666666666666,147.0,145.33333333333334,143.66666666666666,143.0,144.66666666666666
19,138.0,149.66666666666666,139.33333333333334,149.33333333333334,143.0,142.0,143.33333333333334,145.0
20,137.66666666666666,150.0,139.0,146.66666666666666,142.66666666666666,143.66666666666666,142.33333333333334,144.66666666666666
21,139.66666666666666,149.0,139.33333333333334,146.66666666666666,141.33333333333334,144.33333333333334,141.33333333333334,145.0
22,139.0,147.33333333333334,139.66666666666666,144.66666666666666,141.66666666666666,142.66666666666666,141.66666666666666,145.66666666666666
23,136.33333333333334,149.0,141.0,144.33333333333334,142.33333333333334,140.66666666666666,143.0,148.33333333333334
24,136.66666666666666,149.0,143.0,144.66666666666666,142.0,143.33333333333334,141.66666666666666,148.66666666666666
25,136.33333333333334,151.0,144.0,145.33333333333334,143.66666666666666,141.66666666666666,141.66666666666666,147.0
26,136.33333333333334,150.33333333333334,143.0,145.33333333333334,143.33333333333334,142.33333333333334,141.33333333333334,148.66666666666666
27,135.66666666666666,149.0,144.33333333333334,145.33333333333334,143.33333333333334,140.66666666666666,138.0,146.0
28,134.0,150.33333333333334,146.33333333333334,144.66666666666666,146.0,142.66666666666666,140.66666666666666,145.66666666666666
29,136.33333333333334,149.0,144.33333333333334,142.66666666666666,144.66666666666666,142.66666666666666,139.66666666666666,146.0
30,140.0,148.66666666666666,149.0,141.0,149.33333333333334,138.66666666666666,147.0,139.66666666666666
31,143.66666666666666,149.0,153.33333333333334,140.0,155.66666666666666,134.33333333333334,155.66666666666666,131.33333333333334
32,146.0,147.66666666666666,156.0,135.66666666666666,159.0,132.33333333333334,162.0,127.33333333333333
33,148.66666666666666,145.66666666666666,159.0,133.33333333333334,165.0,127.66666666666667,169.33333333333334,121.33333333333333
34,150.0,143.66666666666666,161.0,130.33333333333334,170.66666666666666,123.66666666666667,173.33333333333334,116.33333333333333
35,150.0,143.33333333333334,164.0,129.33333333333334,172.66666666666666,121.0,177.0,110.66666666666667
36,151.66666666666666,141.33333333333334,167.66666666666666,128.0,178.0,117.0,181.66666666666666,103.0
37,153.33333333333334,141.66666666666666,168.33333333333334,126.66666666666667,180.66666666666666,113.66666666666667,190.0,97.33333333333333
38,154.33333333333334,141.66666666666666,170.0,125.0,184.66666666666666,109.0,197.0,91.33333333333333
39,155.0,139.33333333333334,172.33333333333334,121.66666666666667,187.0,104.33333333333333,203.0,85.0
40,157.66666666666666,138.33333333333334,173.66666666666666,121.66666666666667,191.33333333333334,101.0,207.0,75.33333333333333
41,158.66666666666666,136.66666666666666,175.66666666666666,120.0,194.0,97.33333333333333,215.33333333333334,69.33333333333333
42,159.66666666666666,136.0,177.33333333333334,119.33333333333333,198.33333333333334,95.0,222.0,64.33333333333333
43,161.33333333333334,135.66666666666666,178.33333333333334,118.66666666666667,200.66666666666666,91.0,229.66666666666666,59.0
44,161.33333333333334,134.33333333333334,178.33333333333334,117.66666666666667,204.33333333333334,90.0,236.66666666666666,52.333333333333336
45,162.66666666666666,133.0,180.33333333333334,116.33333333333333,206.66666666666666,88.0,242.0,48.0
46,164.0,131.0,180.66666666666666,116.0,210.0,84.66666666666667,247.0,45.0
47,164.66666666666666,130.0,181.33333333333334,116.0,212.33333333333334,81.66666666666667,249.33333333333334,42.666666666666664
48,166.66666666666666,128.66666666666666,181.66666666666666,116.0,214.66666666666666,78.0,253.0,39.666666666666664
49,168.33333333333334,128.33333333333334,182.0,114.33333333333333,218.0,73.66666666666667,255.0,37.0
50,169.33333333333334,128.66666666666666,183.66666666666666,114.66666666666667,221.0,71.0,257.6666666666667,34.333333333333336
51,170.0,126.0,183.66666666666666,113.0,223.66666666666666,68.0,260.0,32.666666666666664
52,171.66666666666666,125.0,184.0,114.0,227.66666666666666,65.0,263.0,32.0
53,172.33333333333334,124.66666666666667,184.66666666666666,113.66666666666667,230.33333333333334,63.333333333333336,264.3333333333333,30.0
54,173.33333333333334,123.33333333333333,185.33333333333334,113.66666666666667,233.0,62.333333333333336,266.6666666666667,28.666666666666668
55,174.33333333333334,122.66666666666667,185.66666666666666,111.66666666666667,234.33333333333334,61.333333333333336,269.0,25.333333333333332
56,175.0,122.33333333333333,186.33333333333334,111.66666666666667,235.66666666666666,60.333333333333336,270.6666666666667,24.666666666666668
57,176.0,120.66666666666667,187.0,110.66666666666667,237.0,58.666666666666664,274.6666666666667,22.333333333333332
58,177.33333333333334,119.66666666666667,187.33333333333334,109.66666666666667,239.0,56.0,277.0,22.333333333333332
59,178.33333333333334,119.33333333333333,188.66666666666666,109.0,239.33333333333334,54.666666666666664,277.6666666666667,19.666666666666668
