Time,th_5.0_Positive,th_5.0_Negative,th_10.0_Positive,th_10.0_Negative,th_15.0_Positive,th_15.0_Negative,th_30.0_Positive,th_30.0_Negative
0,5.666666666666667,4.666666666666667,5.0,4.0,5.0,4.0,3.0,3.0
1,12.333333333333334,12.333333333333334,12.333333333333334,12.333333333333334,12.0,8.666666666666666,10.333333333333334,9.666666666666666
2,21.333333333333332,22.0,19.666666666666668,18.333333333333332,19.333333333333332,16.666666666666668,17.0,14.333333333333334
3,30.0,34.333333333333336,31.0,28.333333333333332,27.666666666666668,25.666666666666668,26.333333333333332,26.0
4,39.0,47.666666666666664,40.0,38.333333333333336,38.0,38.666666666666664,42.0,36.666666666666664
5,54.666666666666664,62.666666666666664,56.0,51.0,55.333333333333336,55.333333333333336,53.666666666666664,53.0
6,65.33333333333333,77.0,72.0,68.66666666666667,75.33333333333333,72.66666666666667,64.66666666666667,69.66666666666667
7,79.0,93.33333333333333,87.0,84.0,87.0,83.33333333333333,83.33333333333333,83.66666666666667
8,91.66666666666667,110.0,100.66666666666667,99.0,100.0,100.66666666666667,94.33333333333333,102.66666666666667
9,107.0,120.33333333333333,112.33333333333333,116.33333333333333,116.0,113.33333333333333,106.33333333333333,120.0
10,117.66666666666667,130.0,122.0,127.0,125.66666666666667,123.33333333333333,118.0,128.33333333333334
11,122.66666666666667,136.66666666666666,130.0,134.0,132.66666666666666,128.0,124.33333333333333,137.66666666666666
12,126.66666666666667,143.33333333333334,137.66666666666666,138.33333333333334,134.66666666666666,133.66666666666666,131.0,142.33333333333334
13,130.0,149.0,138.33333333333334,139.0,137.66666666666666,138.66666666666666,132.66666666666666,146.66666666666666
14,132.33333333333334,148.66666666666666,141.33333333333334,140.66666666666666,140.33333333333334,141.0,137.66666666666666,148.33333333333334
15,136.33333333333334,150.33333333333334,141.66666666666666,140.33333333333334,139.66666666666666,145.0,140.33333333333334,147.66666666666666
16,136.66666666666666,150.66666666666666,141.66666666666666,142.0,140.0,147.66666666666666,141.33333333333334,148.33333333333334
17,138.0,151.0,141.33333333333334,143.66666666666666,140.33333333333334,148.0,143.33333333333334,147.33333333333334
18,138.33333333333334,151.33333333333334,141.66666666666666,143.66666666666666,141.0,146.0,142.33333333333334,148.0
19,137.66666666666666,150.33333333333334,144.0,144.33333333333334,140.33333333333334,145.66666666666666,142.66666666666666,150.0
20,138.0,151.33333333333334,144.66666666666666,144.0,142.0,145.33333333333334,141.33333333333334,147.66666666666666
21,137.33333333333334,150.0,143.33333333333334,145.66666666666666,144.66666666666666,147.0,142.33333333333334,146.66666666666666
22,137.33333333333334,150.66666666666666,142.33333333333334,145.0,144.0,146.0,144.0,146.33333333333334
23,138.33333333333334,151.66666666666666,142.33333333333334,143.0,141.66666666666666,147.0,142.0,144.0
24,135.0,150.66666666666666,142.66666666666666,143.33333333333334,143.0,145.66666666666666,142.66666666666666,145.66666666666666
25,137.0,149.33333333333334,144.0,143.66666666666666,142.0,145.33333333333334,143.66666666666666,144.66666666666666
26,138.33333333333334,151.0,145.0,144.33333333333334,143.33333333333334,144.33333333333334,143.66666666666666,148.33333333333334
27,138.33333333333334,153.0,147.0,143.33333333333334,142.33333333333334,146.66666666666666,142.0,150.66666666666666
28,135.33333333333334,152.66666666666666,145.0,141.0,143.66666666666666,145.0,141.33333333333334,150.0
29,138.33333333333334,149.33333333333334,145.0,141.33333333333334,143.0,146.0,142.66666666666666,149.0
30,143.33333333333334,150.66666666666666,151.0,139.66666666666666,146.0,147.0,145.0,148.33333333333334
31,145.33333333333334,149.33333333333334,153.66666666666666,136.66666666666666,147.66666666666666,144.66666666666666,147.33333333333334,146.33333333333334
32,145.66666666666666,147.66666666666666,155.66666666666666,136.66666666666666,149.33333333333334,144.0,149.0,145.66666666666666
33,147.33333333333334,147.33333333333334,158.33333333333334,135.33333333333334,152.33333333333334,142.66666666666666,150.66666666666666,144.66666666666666
34,147.66666666666666,145.33333333333334,159.66666666666666,134.0,154.33333333333334,142.0,152.33333333333334,145.0
35,149.33333333333334,144.33333333333334,162.0,133.33333333333334,154.66666666666666,141.0,153.66666666666666,142.0
36,151.66666666666666,143.33333333333334,164.0,130.0,156.0,140.0,156.33333333333334,139.33333333333334
37,152.66666666666666,141.66666666666666,164.66666666666666,129.66666666666666,156.66666666666666,139.66666666666666,157.66666666666666,137.33333333333334
38,153.0,141.0,166.66666666666666,127.33333333333333,157.66666666666666,137.0,160.66666666666666,134.66666666666666
